	Variable	Description	Values	Significance	Color
10	R1234	Combined no cv, no ts and cv, no ts and no cv, ts and cv, ts Influence	"[[0.10266602 0.06439686 0.10986827 ... 0.09775044 0.1123461  0.11456764]
 [0.09529318 0.10085293 0.12660895 ... 0.15596087 0.12652822 0.09480243]
 [0.09970928 0.09199904 0.11004092 ... 0.14635253 0.11502449 0.12310999]
 ...
 [0.07441043 0.15161941 0.09702598 ... 0.09415593 0.09534904 0.08952387]
 [0.11776372 0.12722234 0.12344889 ... 0.12225488 0.1079961  0.05667051]
 [0.08095493 0.1011593  0.11735874 ... 0.08322209 0.08060571 0.07516889]]"	"[9.40975688e-11 3.81852501e-10 3.49257462e-10 9.40975688e-11
 5.99970527e-10 1.48597746e-10 1.33840746e-10 1.48597746e-10
 4.67091052e-10 1.44128426e-10 1.50466191e-10 7.62614380e-11
 9.40975688e-11 1.70118664e-09 5.99970527e-10 7.86127560e-11
 2.10561733e-09 5.63160688e-08 9.40975688e-11 3.03942348e-11
 3.60373756e-10 1.33840746e-10 3.59219546e-11 8.89634283e-11
 1.33840746e-10 2.70475063e-10 1.91512223e-10 5.01481872e-12
 6.84514373e-09 1.22772158e-09 9.46060908e-10 9.40975688e-11
 1.44128426e-10 3.94706230e-10 1.43952894e-08 1.90382812e-08
 1.48597746e-10 1.50466191e-10 2.61813483e-09 2.07221371e-09
 1.79329373e-09 3.83488480e-09 1.41941020e-08 6.79141426e-09
 4.36519180e-09 2.61419954e-09 9.35751654e-10 1.35739266e-09
 2.72433181e-08 4.07050787e-08 3.05838696e-08 6.21890604e-09
 9.40975688e-11 5.99970527e-10 9.40975688e-11 1.35739266e-09
 1.27344131e-10 2.70475063e-10 1.72880430e-08 7.11906936e-10
 3.14347465e-09 5.63160688e-08 5.06521701e-10 1.81866121e-10
 3.19969796e-10 2.01214247e-09 2.49590234e-08 1.10432782e-08
 9.25520291e-10 1.88337874e-10 1.04111387e-09 3.03942348e-11
 9.75247978e-11 3.03942348e-11 3.45998476e-09 3.94706230e-10
 1.62465093e-08 2.20905252e-09 8.89634283e-11 1.50909298e-09
 1.50466191e-10 3.59219546e-11 9.28199931e-11 8.89634283e-11
 4.45260548e-10 6.76738622e-10 2.70475063e-10 1.33840746e-10
 8.09224507e-11 5.06521701e-10 1.84024502e-09 3.03942348e-11
 4.16616313e-11 1.69746286e-09 1.48597746e-10 1.50466191e-10
 1.52701344e-09 3.81061135e-10 8.89634283e-11 1.61629738e-09]"	
11	y1	Unique no cv, no ts	"[[3.73843290e-03 3.11621084e-03 1.28601690e-02 ... 2.46301304e-02
  2.86380997e-02 2.00929483e-02]
 [4.05193774e-04 1.34608280e-02 1.84583930e-03 ... 9.80123601e-03
  6.72590447e-03 6.62408207e-03]
 [9.05582424e-03 2.17805507e-03 2.80819615e-03 ... 3.32860624e-03
  5.51271810e-03 8.24625462e-03]
 ...
 [2.81495307e-03 1.06127292e-03 3.62528070e-03 ... 1.52067878e-03
  2.87406593e-05 1.58947122e-03]
 [4.92624698e-03 6.30552766e-05 5.88847433e-03 ... 8.07183579e-03
  6.83262642e-03 1.67245595e-03]
 [8.17851718e-04 2.27874928e-02 2.60871069e-02 ... 1.51953728e-02
  9.60749059e-03 1.96179872e-02]]"	"[1.05741502e-03 1.41460080e-03 2.20400356e-03 1.05741502e-03
 4.75905021e-03 2.66403633e-04 6.44569077e-04 3.58571528e-04
 9.37789005e-03 1.41460080e-03 5.06942948e-05 7.40879709e-03
 4.31768638e-03 1.05741502e-03 8.36647746e-04 3.19329371e-03
 2.73801345e-03 1.75847768e-03 1.65875329e-04 1.21683683e-03
 1.03606841e-03 6.44569077e-04 5.08595665e-03 8.51910217e-04
 5.66681158e-04 3.19329371e-03 2.06261586e-03 3.31332032e-04
 2.15159349e-04 4.38455154e-04 3.51615863e-04 8.84482202e-05
 1.60000993e-05 4.36412086e-05 7.48699186e-04 1.20961695e-03
 1.58633304e-04 1.65875329e-04 7.48699186e-04 7.48699186e-04
 3.09167814e-03 4.69130986e-03 3.58571528e-04 6.79527005e-04
 7.48699186e-04 7.48699186e-04 1.22561261e-03 2.43911974e-03
 1.21683683e-03 2.06261586e-03 3.40419900e-03 2.13659011e-03
 1.41460080e-03 4.38455154e-04 4.36412086e-05 3.09167814e-03
 3.14976330e-04 8.51910217e-04 1.51242303e-02 2.20400356e-03
 6.79527005e-04 1.58633304e-04 2.33239172e-04 2.33863216e-03
 7.48699186e-04 2.74264046e-03 7.48699186e-04 3.58571528e-04
 8.21552203e-04 1.01595804e-03 4.36412086e-05 5.96265928e-05
 5.47578724e-05 3.14976330e-04 2.83450401e-04 2.29561183e-03
 3.14976330e-04 5.41020908e-04 1.41028194e-03 5.73470719e-03
 3.09167814e-03 1.21683683e-03 7.48699186e-04 7.48699186e-04
 8.54120169e-04 3.09167814e-03 2.42828410e-03 1.58633304e-04
 5.96265928e-05 4.09711849e-04 9.02347296e-04 7.48699186e-04
 5.54212839e-03 3.58571528e-04 3.56734731e-04 3.76809905e-03
 1.41460080e-03 1.35142989e-03 3.09167814e-03 6.44569077e-04]"	
12	y2	Unique cv, no ts	"[[0.00620759 0.00446932 0.010817   ... 0.02248094 0.02023068 0.01792834]
 [0.00927976 0.01216075 0.04008534 ... 0.00746933 0.01012639 0.01893555]
 [0.02560945 0.0112698  0.01957012 ... 0.01863725 0.02664272 0.01196771]
 ...
 [0.01370835 0.02309195 0.03057141 ... 0.00698637 0.02821403 0.00726799]
 [0.02604358 0.01277901 0.00410358 ... 0.03927249 0.02348435 0.01929143]
 [0.00582247 0.00462903 0.01927191 ... 0.01870639 0.01195232 0.00273977]]"	"[3.59001533e-05 3.29368500e-05 3.87416699e-05 5.22609740e-05
 8.47965626e-04 1.28773809e-05 1.90955919e-04 3.59001533e-05
 1.21468504e-04 7.03200792e-05 4.45762726e-05 8.36676614e-05
 3.41293591e-05 1.74239776e-05 3.41293591e-05 1.28773809e-05
 5.20674720e-05 1.15911077e-05 3.87416699e-05 1.90955919e-04
 2.79498707e-05 9.87444403e-05 1.78696002e-05 1.78696002e-05
 1.78696002e-05 1.52020504e-05 4.53102883e-05 3.90538502e-04
 2.32214537e-04 2.79960683e-05 5.27437062e-05 1.52020504e-05
 3.72510863e-06 3.72510863e-06 2.27377790e-05 1.52961637e-05
 1.78167371e-06 1.52020504e-05 2.79498707e-05 3.93838537e-05
 1.73155691e-04 3.45129237e-03 1.17471884e-03 2.64248515e-04
 3.67452219e-05 2.48799928e-04 3.91600867e-04 3.93838537e-05
 5.20674720e-05 3.87416699e-05 2.89162069e-05 1.52020504e-05
 1.73155691e-04 1.25848982e-04 1.78696002e-05 1.52020504e-05
 1.52020504e-05 2.12808670e-04 1.65299669e-03 5.19555265e-05
 5.20674720e-05 2.79498707e-05 3.73315009e-05 3.41293591e-05
 5.16259608e-05 6.29292648e-05 5.04381226e-05 3.59001533e-05
 3.62726784e-05 5.04269638e-04 9.85897103e-05 1.58647868e-04
 8.00894524e-05 1.82356239e-05 6.48896695e-05 1.78696002e-05
 2.79498707e-05 3.41293591e-05 1.13875774e-04 2.79498707e-05
 1.55901056e-05 1.61208836e-04 5.20674720e-05 1.74239776e-05
 7.14704605e-05 3.41091722e-05 9.68213909e-05 3.93838537e-05
 3.19715421e-05 5.22609740e-05 3.41293591e-05 7.59440807e-05
 6.11604562e-05 4.67788329e-05 1.06817022e-03 3.41293591e-05
 1.90955919e-04 2.79498707e-05 3.36121675e-05 1.82356239e-05]"	
13	y3	Unique no cv, ts	"[[4.90394529e-03 1.38534237e-04 4.89818775e-03 ... 3.31572387e-04
  3.21545121e-03 1.50748952e-03]
 [1.91484975e-03 3.53797549e-03 6.34195411e-03 ... 1.52082557e-02
  1.48273179e-02 5.89861215e-03]
 [9.68258955e-03 3.62716583e-03 8.00600730e-04 ... 8.00468238e-03
  1.26768398e-03 6.98322406e-03]
 ...
 [1.06004016e-04 1.70357615e-03 2.17520507e-03 ... 1.39477285e-02
  6.88630536e-03 1.11976155e-02]
 [2.86367860e-02 9.60535043e-03 2.47201413e-02 ... 2.05134298e-03
  3.30789788e-05 2.23834385e-03]
 [8.19457758e-03 1.01013294e-02 1.71796602e-02 ... 1.25092320e-03
  6.69736985e-03 1.18742232e-03]]"	"[2.85444366e-03 4.52371341e-04 1.33837967e-03 3.97395286e-03
 3.19942710e-04 1.33820475e-03 3.67886089e-04 4.57548775e-03
 2.54368013e-04 2.07213428e-03 2.96188679e-03 1.07753422e-03
 1.33820475e-03 5.32502906e-04 8.89529762e-04 4.52371341e-04
 9.99626742e-04 1.48777672e-03 1.22958395e-03 1.83583844e-03
 1.05380684e-03 8.29543096e-04 4.95462127e-04 5.85484064e-04
 3.16524534e-03 2.54368013e-04 1.33837967e-03 1.89367619e-03
 5.32502906e-04 3.87584953e-04 3.16524534e-03 3.35407471e-03
 4.57999277e-04 1.07753422e-03 6.65359786e-03 5.98259548e-04
 1.46519938e-03 4.48861725e-04 2.54368013e-04 1.15693812e-03
 1.48777672e-03 6.26715589e-04 3.96990113e-05 3.22632090e-04
 4.57999277e-04 5.32502906e-04 2.54368013e-04 5.32502906e-04
 4.87114998e-04 1.48777672e-03 8.01698200e-04 5.32502906e-04
 3.52894183e-03 3.16200966e-03 2.86843520e-03 1.04060944e-03
 2.54368013e-04 2.54368013e-04 9.99626742e-04 1.56080276e-03
 5.36713371e-04 1.09300292e-03 1.07753422e-03 1.33837967e-03
 9.99626742e-04 9.99626742e-04 1.33837967e-03 3.65615359e-04
 4.52371341e-04 6.78110417e-04 5.36713371e-04 1.58572595e-03
 5.32502906e-04 2.70833894e-04 1.48777672e-03 1.33837967e-03
 1.06049957e-03 6.66890352e-03 3.57193150e-03 7.40463119e-03
 1.33837967e-03 1.58103431e-03 5.32502906e-04 6.17918871e-03
 1.09300292e-03 4.60081244e-04 2.54016285e-03 1.33837967e-03
 6.26715589e-04 2.54368013e-04 6.38975314e-04 3.67886089e-04
 4.42642278e-03 2.76536710e-04 4.60081244e-04 1.25971383e-03
 8.58933381e-04 1.07753422e-03 1.07753422e-03 2.32691983e-03]"	
14	y4	Unique cv, ts	"[[0.05052646 0.05263748 0.07182242 ... 0.04715419 0.05787667 0.07600443]
 [0.062329   0.06352872 0.1042336  ... 0.07772899 0.05976192 0.03299702]
 [0.06436885 0.06754777 0.07976566 ... 0.10083523 0.06571535 0.07134598]
 ...
 [0.03317253 0.11886434 0.06742251 ... 0.07483594 0.05065208 0.05427554]
 [0.05540524 0.07500932 0.08151186 ... 0.08149875 0.07233789 0.03872015]
 [0.071884   0.06739478 0.0712935  ... 0.04606454 0.05175908 0.04227204]]"	"[3.14861415e-10 7.20541436e-08 4.83223158e-09 2.27420789e-09
 1.75818004e-09 5.41937484e-10 3.14861415e-10 8.76144659e-10
 2.69811848e-10 3.91018458e-10 1.39957543e-09 4.48374655e-10
 1.71006281e-10 1.16927898e-08 7.93345034e-10 1.75358451e-10
 1.63035435e-08 1.90245178e-08 8.89419657e-09 3.33134503e-10
 5.05472590e-09 2.27420789e-09 7.62651142e-09 3.37556122e-09
 1.50135890e-09 7.25228030e-09 7.25228030e-09 8.98893850e-11
 4.62007571e-09 1.29711260e-08 1.42873271e-10 2.55558545e-11
 4.48374655e-10 2.29094019e-10 9.54530414e-09 1.53842768e-09
 1.11752389e-08 4.48374655e-10 8.95195815e-09 4.48374655e-10
 4.94123646e-11 1.10328300e-09 2.29094019e-10 5.41937484e-10
 1.25197459e-10 1.23757225e-08 5.83492127e-08 2.16906272e-09
 5.26730630e-10 5.28085376e-09 2.08877389e-08 3.14861415e-10
 4.29868574e-10 1.30767634e-08 3.85018118e-08 8.98893850e-11
 5.41937484e-10 5.66985346e-10 3.22858266e-09 7.11038332e-09
 1.15582177e-08 3.07270349e-10 1.03490259e-08 1.52556020e-09
 1.42873271e-10 3.22858266e-09 2.27420789e-09 1.07815947e-08
 3.22858266e-09 1.23226320e-09 1.69786710e-09 1.75818004e-09
 6.40857926e-10 6.69239359e-09 1.74041938e-08 6.80359610e-09
 6.67325619e-08 5.41937484e-10 7.93345034e-10 3.22858266e-09
 1.50164983e-09 4.68141848e-10 1.75818004e-09 6.07234035e-10
 7.93345034e-10 3.14861415e-10 4.71614520e-09 1.53745487e-09
 4.48374655e-10 1.83495318e-08 3.22858266e-09 3.14861415e-10
 1.04775304e-10 7.93345034e-10 2.68245274e-11 8.98893850e-11
 3.14861415e-10 4.48374655e-10 1.33080361e-11 9.20137267e-09]"	
15	y12	Shared Variance no cv, no ts and cv, no ts	"[[ 5.02103998e-03 -2.02008940e-03 -2.68976851e-04 ... -1.32551306e-02
  -1.45818052e-02 -5.39418843e-03]
 [ 2.95984780e-04  1.83332029e-03 -1.11510231e-03 ... -2.84502837e-03
  -5.51101431e-03 -6.42914777e-03]
 [ 3.23319444e-03  2.47746975e-03 -2.50329675e-03 ...  2.68215527e-03
   3.78628459e-03 -3.87824631e-03]
 ...
 [ 2.28194748e-03  2.09810052e-02  2.70943691e-05 ...  7.28264557e-03
   2.21381766e-03 -5.22943456e-04]
 [ 6.89653287e-03  5.39702402e-03  1.27292374e-02 ... -3.75776555e-03
  -4.22606705e-03 -1.62115236e-03]
 [ 3.92314438e-04 -6.98219878e-05 -3.95168197e-03 ...  2.52774931e-03
   3.30683865e-03  8.73134128e-03]]"	"[0.59948417 0.66662419 0.98565795 0.59948417 0.61842419 0.66662419
 0.59948417 0.80201082 0.59948417 0.81412811 0.92037751 0.98565795
 0.61842419 0.97642692 0.61842419 0.80903537 0.62523256 0.80201082
 0.59948417 0.59948417 0.62523256 0.59948417 0.59948417 0.61842419
 0.65106168 0.59948417 0.59948417 0.59948417 0.62523256 0.65106168
 0.92774262 0.65106168 0.9233275  0.9233275  0.60904897 0.59948417
 0.98565795 0.59948417 0.65106168 0.9233275  0.99842864 0.81543741
 0.98565795 0.9233275  0.81189516 0.98565795 0.83119659 0.81189516
 0.9419373  0.9233275  0.62523256 0.59948417 0.59948417 0.59948417
 0.59948417 0.80201082 0.61842419 0.61774898 0.65106168 0.61842419
 0.59948417 0.92037751 0.59948417 0.64498501 0.65106168 0.83243787
 0.59948417 0.9233275  0.9233275  0.9233275  0.98565795 0.81189516
 0.61842419 0.91542116 0.59948417 0.80201082 0.9233275  0.80201082
 0.59948417 0.9233275  0.98565795 0.80903537 0.88368907 0.80201082
 0.62523256 0.59948417 0.83243787 0.59948417 0.61842419 0.9233275
 0.9233275  0.9233275  0.71157072 0.65106168 0.88368907 0.62523256
 0.65106168 0.9233275  0.99842864 0.9233275 ]"	
16	y13	Shared Variance no cv, no ts and no cv, ts	"[[ 4.36795431e-04  2.68381023e-04 -1.20297775e-03 ...  2.13870791e-03
   1.14966477e-03 -1.46580863e-03]
 [ 3.73938546e-04 -2.71543595e-03  7.31684923e-04 ... -2.23448999e-03
  -1.86677748e-03 -1.05959314e-03]
 [-2.79466849e-03 -9.09189454e-04  8.26428305e-04 ... -1.97601556e-03
   1.28968274e-04  6.39253005e-04]
 ...
 [ 7.93657885e-05 -9.18317637e-05  1.24051594e-03 ... -1.06046738e-03
   2.61656208e-05 -1.10354344e-03]
 [-2.39188103e-03  1.27123325e-03 -3.07087291e-03 ...  8.38635666e-04
   1.21893361e-04  1.29856833e-04]
 [-7.22077823e-04 -4.27183507e-03 -6.19267868e-03 ...  3.37250099e-03
   6.38881089e-03  3.57190317e-03]]"	"[0.48572309 0.43578661 0.94838813 0.81318249 0.55754923 0.55754923
 0.99312408 0.99312408 0.62273611 0.43578661 0.48572309 0.43578661
 0.81318249 0.81318249 0.49441169 0.96839158 0.75489675 0.99312408
 0.55754923 0.83638192 0.69995916 0.40114179 0.55754923 0.43578661
 0.99312408 0.43578661 0.89716518 0.43578661 0.99312408 0.86661084
 0.13746388 0.08045425 0.08045425 0.86661084 0.99312408 0.99665633
 0.81318249 0.08851043 0.51504737 0.40114179 0.83179226 0.90323106
 0.67343435 0.8414466  0.99312408 0.85564095 0.98124099 0.67241086
 0.36809671 0.17513974 0.43578661 0.75489675 0.25813755 0.55754923
 0.48984972 0.36463584 0.48572309 0.43578661 0.58283378 0.8487328
 0.83179226 0.97585619 0.62273611 0.43578661 0.43578661 0.36927555
 0.48572309 0.62273611 0.81318249 0.95134365 0.50435102 0.48572309
 0.43578661 0.85564095 0.43578661 0.16700175 0.48572309 0.94838813
 0.43578661 0.55754923 0.62273611 0.99312408 0.81318249 0.62273611
 0.99312408 0.82868074 0.91316792 0.81318249 0.43578661 0.48248501
 0.43578661 0.86661084 0.58283378 0.11847255 0.55754923 0.70931106
 0.81318249 0.75489675 0.99312408 0.70931106]"	
17	y14	Shared Variance no cv, no ts and cv, ts	"[[ 0.00165425  0.00209354  0.0010033  ... -0.0066242  -0.00581122
  -0.00912049]
 [ 0.00099492 -0.00385167 -0.00078469 ...  0.00159721  0.00640027
   0.00749721]
 [ 0.00680893  0.00831785  0.00263713 ... -0.00097856 -0.00024087
   0.00610304]
 ...
 [ 0.00402416  0.00747626 -0.00317769 ... -0.00016479  0.00122176
   0.00088268]
 [ 0.00067934  0.00137738 -0.00410289 ... -0.00034298  0.00235903
   0.00183358]
 [ 0.00454142  0.000774    0.00087733 ... -0.00334786 -0.00268409
  -0.00275409]]"	"[0.01285081 0.33121457 0.68986221 0.55074357 0.42705713 0.80184411
 0.81551553 0.71721883 0.4667427  0.77568528 0.29479467 0.65172661
 0.80184411 0.97329615 0.41471202 0.79116184 0.46587124 0.46587124
 0.78944225 0.58111158 0.46587124 0.80184411 0.29479467 0.80184411
 0.78944225 0.47667886 0.77471665 0.66612103 0.28313373 0.28313373
 0.28313373 0.00807303 0.28313373 0.29479467 0.48556833 0.5282929
 0.79542512 0.58115317 0.36662843 0.28313373 0.33121457 0.58577538
 0.36662843 0.29479467 0.36662843 0.28313373 0.29479467 0.5282929
 0.58115317 0.36662843 0.36662843 0.46587124 0.29479467 0.36489922
 0.36390864 0.29479467 0.42705713 0.79116184 0.46523026 0.78944225
 0.33121457 0.77568528 0.93790307 0.33121457 0.49237982 0.81723843
 0.97680456 0.58111158 0.95539275 0.46523026 0.73367333 0.57418677
 0.48960852 0.58577538 0.65441762 0.33121457 0.46523026 0.33121457
 0.36390864 0.57418677 0.29479467 0.33121457 0.33121457 0.33121457
 0.57418677 0.47084749 0.5282929  0.81551553 0.29479467 0.29479467
 0.36662843 0.5282929  0.33121457 0.46587124 0.33121457 0.4667427
 0.33121457 0.5282929  0.33121457 0.68986221]"	
18	y23	Shared Variance cv, no ts and no cv, ts	"[[ 2.84681007e-04  3.90452088e-04  9.11504386e-04 ...  2.76185549e-03
   2.92050820e-04 -9.85722597e-05]
 [-1.23056479e-04  2.36806093e-03  7.37823852e-04 ...  6.34604113e-04
   6.64337140e-04  6.21191940e-05]
 [ 1.36630301e-03  2.03278218e-03  3.88296343e-03 ... -7.19066269e-04
   5.59696727e-04  1.18688235e-03]
 ...
 [ 2.22543720e-05 -9.64756290e-05 -5.68880402e-04 ... -1.22383944e-03
  -9.82762668e-04 -1.15340607e-03]
 [ 6.80596278e-03  4.94854077e-03  5.93087864e-03 ... -1.46516631e-03
   1.51915446e-04 -1.34651745e-03]
 [-3.51382297e-04 -2.84746609e-03 -1.56789798e-03 ...  1.95525603e-03
   1.50743664e-03  7.28980148e-04]]"	"[0.56324791 0.6882358  0.48917468 0.92450861 0.48917468 0.74308423
 0.99780335 0.56324791 0.48917468 0.48917468 0.6882358  0.92955866
 0.99780335 0.48917468 0.56324791 0.59305503 0.6882358  0.17216555
 0.56324791 0.15931739 0.30431685 0.17216555 0.2733271  0.48917468
 0.92322579 0.56324791 0.74308423 0.45840877 0.80499798 0.92955866
 0.13528791 0.17216555 0.56324791 0.5556312  0.56324791 0.48917468
 0.96697988 0.48917468 0.92322579 0.82776589 0.48917468 0.48917468
 0.30431685 0.13528791 0.17216555 0.21148146 0.48917468 0.48917468
 0.56324791 0.48917468 0.48917468 0.36771535 0.56324791 0.88509992
 0.56324791 0.56324791 0.74308423 0.59305503 0.56324791 0.30431685
 0.32562382 0.96697988 0.56324791 0.56324791 0.56324791 0.74308423
 0.56324791 0.59305503 0.17216555 0.56324791 0.48917468 0.48917468
 0.56324791 0.67387978 0.30431685 0.48917468 0.6882358  0.59305503
 0.56324791 0.56324791 0.48917468 0.48917468 0.56324791 0.48917468
 0.56324791 0.56324791 0.56324791 0.48917468 0.96697988 0.63748455
 0.56324791 0.48917468 0.48917468 0.56324791 0.56324791 0.56324791
 0.17216555 0.37527815 0.42300251 0.76791793]"	
19	y24	Shared Variance cv, no ts and cv, ts	"[[ 0.00091332  0.00019954  0.01286959 ... -0.00314987  0.00213091
  -0.01274406]
 [ 0.00907397  0.00169562 -0.02066608 ...  0.01932989  0.02169101
   0.00268864]
 [-0.00794113 -0.00751276 -0.00727188 ...  0.01228145  0.01482739
   0.02222025]
 ...
 [-0.00035273 -0.00643943 -0.00777766 ...  0.01013279  0.01534925
   0.01804285]
 [-0.00040017  0.00403408  0.00167443 ... -0.01683803  0.00056742
  -0.00302986]
 [-0.00267007 -0.00116279  0.00255848 ...  0.00598395  0.00108664
   0.00772541]]"	"[0.19123687 0.46663246 0.46663246 0.46663246 0.61954615 0.63837029
 0.46663246 0.4908803  0.41643246 0.97637933 0.97815084 0.28749454
 0.61954615 0.96970492 0.46663246 0.28749454 0.76394021 0.41609995
 0.41609995 0.63837029 0.46663246 0.30674476 0.28749454 0.16979219
 0.46663246 0.46663246 0.46663246 0.23104597 0.20435586 0.19123687
 0.19123687 0.03402077 0.03402077 0.03402077 0.19123687 0.63837029
 0.46663246 0.46663246 0.45815702 0.46663246 0.28749454 0.46663246
 0.41643246 0.63837029 0.56659205 0.45815702 0.30674476 0.46663246
 0.56659205 0.76154968 0.46663246 0.46663246 0.46663246 0.66746891
 0.46663246 0.16979219 0.23104597 0.16979219 0.19123687 0.56659205
 0.75311152 0.80282123 0.75311152 0.56659205 0.46663246 0.53139101
 0.28749454 0.16979219 0.03402077 0.46663246 0.46663246 0.41609995
 0.46663246 0.56659205 0.45815702 0.46663246 0.63837029 0.56659205
 0.98143209 0.90694122 0.68031424 0.30674476 0.46663246 0.63837029
 0.46663246 0.56659205 0.93783179 0.63837029 0.82522291 0.68898565
 0.61954615 0.68898565 0.45815702 0.60064257 0.54533189 0.63203277
 0.46663246 0.73371935 0.19123687 0.75360484]"	
20	y34	Shared Variance no cv, ts and cv, ts	"[[ 0.00403346  0.00334067 -0.00484642 ...  0.00375378 -0.00138658
   0.00312895]
 [ 0.00208946  0.00658496 -0.00259798 ...  0.01038955  0.00601926
   0.00767229]
 [ 0.00100722 -0.00168573  0.00359806 ...  0.00589603  0.0050105
  -0.00295395]
 ...
 [ 0.00187254  0.01418453 -0.00067628 ... -0.01006525 -0.0041501
  -0.01021541]
 [ 0.0036646  -0.00144776  0.00119669 ... -0.00030975  0.00365433
  -0.00063456]
 [-0.00678206 -0.00056059 -0.00067614 ...  0.01008321 -0.00107366
   0.0120517 ]]"	"[0.40871343 0.46834444 0.966108   0.71473548 0.40871343 0.85439345
 0.86167557 0.44439216 0.44439216 0.3056736  0.6746613  0.85439345
 0.20357596 0.54641164 0.40871343 0.39321208 0.40871343 0.40871343
 0.73242187 0.5161105  0.45229843 0.57848135 0.40871343 0.53112763
 0.53155845 0.66691388 0.40871343 0.73242187 0.5161105  0.75764388
 0.40871343 0.73907594 0.73242187 0.88956515 0.71473548 0.98858346
 0.75818903 0.6746613  0.47182296 0.23292615 0.23292615 0.20616859
 0.20357596 0.44439216 0.44439216 0.24427526 0.44439216 0.20357596
 0.20357596 0.20357596 0.966108   0.85439345 0.63674562 0.23292615
 0.40871343 0.66691388 0.63124557 0.68177993 0.85439345 0.63124557
 0.44652792 0.75818903 0.40871343 0.46976078 0.73242187 0.85439345
 0.40871343 0.53155845 0.73242187 0.59294275 0.5509632  0.40871343
 0.21059111 0.20777071 0.20357596 0.40871343 0.39321208 0.59294275
 0.31852308 0.39321208 0.76984751 0.40871343 0.44439216 0.54641164
 0.73242187 0.46976078 0.40871343 0.40871343 0.40871343 0.66691388
 0.75818903 0.73242187 0.5509632  0.21059111 0.44439216 0.20357596
 0.40871343 0.40871343 0.85439345 0.85439345]"	
21	y123	Shared Variance no cv, no ts and cv, no ts and no cv, ts	"[[ 9.85805843e-04 -1.12960958e-04 -1.15275860e-03 ...  7.75849216e-05
   5.59572396e-05  1.32788225e-04]
 [-3.43551085e-05 -9.27842473e-04 -1.19573757e-03 ...  1.53403622e-03
   1.19800413e-03  1.09039210e-03]
 [-3.43872723e-04 -1.12022449e-03 -1.66130271e-06 ...  1.14473345e-03
  -2.51280342e-04 -1.62194332e-04]
 ...
 [-1.89374414e-04 -1.01247738e-03 -6.33765392e-04 ... -1.76462101e-03
  -9.03847107e-04  6.35633926e-04]
 [ 2.09919712e-03 -8.86054816e-05  3.66438077e-04 ... -4.55031344e-04
  -1.12655790e-04 -1.67563677e-04]
 [-1.40275434e-04  1.94386565e-03  1.62310963e-03 ...  5.18830939e-04
  -5.13800884e-04 -3.72024132e-04]]"	"[0.98693897 0.98693897 0.98693897 0.98693897 0.98693897 0.98693897
 0.5054668  0.98693897 0.7685359  0.98693897 0.98693897 0.88439829
 0.98693897 0.98693897 0.11946176 0.98693897 0.98693897 0.98693897
 0.82272748 0.98693897 0.99611533 0.54111987 0.98693897 0.5054668
 0.98693897 0.98693897 0.98693897 0.88439829 0.35340771 0.25762877
 0.5054668  0.98693897 0.88439829 0.72942521 0.98693897 0.98693897
 0.72942521 0.82272748 0.5054668  0.98693897 0.98693897 0.5054668
 0.07759784 0.10190795 0.35340771 0.5054668  0.61960463 0.72942521
 0.98693897 0.98693897 0.39152158 0.11946176 0.5054668  0.98693897
 0.5054668  0.5054668  0.5054668  0.82272748 0.98693897 0.82272748
 0.88439829 0.5054668  0.78749405 0.98693897 0.98693897 0.54111987
 0.1196247  0.07684017 0.93496036 0.98693897 0.98693897 0.98693897
 0.98693897 0.72942521 0.88439829 0.98693897 0.88439829 0.98693897
 0.5054668  0.51084518 0.98693897 0.67791356 0.98693897 0.98693897
 0.98693897 0.98693897 0.5054668  0.98693897 0.5054668  0.72942521
 0.98693897 0.82272748 0.88439829 0.98693897 0.98693897 0.98693897
 0.98693897 0.98693897 0.98693897 0.98693897]"	
